Názov obce;Názov okresu;Názov kraja
Krčava;Okres Sobrance;Košický
Kremná;Okres Stará Ľubovňa;Prešovský
Kremnica;Okres Žiar nad Hronom;Banskobystrický
Kremnické Bane;Okres Žiar nad Hronom;Banskobystrický
Kristy;Okres Sobrance;Košický
Krišľovce;Okres Stropkov;Prešovský
Krišovská Liesková;Okres Michalovce;Košický
Krivá;Okres Dolný Kubín;Žilinský
Kriváň;Okres Detva;Banskobystrický
Krivany;Okres Sabinov;Prešovský
Krivé;Okres Bardejov;Prešovský
Krivoklát;Okres Ilava;Trenčiansky
Krivosúd-Bodovka;Okres Trenčín;Trenčiansky
Kríže;Okres Bardejov;Prešovský
Krížová Ves;Okres Kežmarok;Prešovský
Krížovany;Okres Prešov;Prešovský
Križovany nad Dudváhom;Okres Trnava;Trnavský
Krná;Okres Poltár;Banskobystrický
Krnča;Okres Topoľčany;Nitriansky
Krokava;Okres Rimavská Sobota;Banskobystrický
Krompachy;Okres Spišská Nová Ves;Košický
Krpeľany;Okres Martin;Žilinský
Krškany;Okres Levice;Nitriansky
Krtovce;Okres Topoľčany;Nitriansky
Kručov;Okres Stropkov;Prešovský
Krupina;Okres Krupina;Banskobystrický
Krušetnica;Okres Námestovo;Žilinský
Krušinec;Okres Stropkov;Prešovský
Krušovce;Okres Topoľčany;Nitriansky
Kružlov;Okres Bardejov;Prešovský
Kružlová;Okres Svidník;Prešovský
Kružná;Okres Rožňava;Košický
Kružno;Okres Rimavská Sobota;Banskobystrický
Kšinná;Okres Bánovce nad Bebravou;Trenčiansky
Kubáňovo;Okres Levice;Nitriansky
Kučín, okres Bardejov;Okres Bardejov;Prešovský
Kučín, okres Vranov nad Topľou;Okres Vranov nad Topľou;Prešovský
Kuchyňa;Okres Malacky;Bratislavský
Kuklov;Okres Senica;Trnavský
Kuková;Okres Svidník;Prešovský
Kukučínov;Okres Levice;Nitriansky
Kunerad;Okres Žilina;Žilinský
Kunešov;Okres Žiar nad Hronom;Banskobystrický
Kunova Teplica;Okres Rožňava;Košický
Kuraľany;Okres Levice;Nitriansky
Kurima;Okres Bardejov;Prešovský
Kurimany;Okres Levoča;Prešovský
Kurimka;Okres Svidník;Prešovský
Kurov;Okres Bardejov;Prešovský
Kusín;Okres Michalovce;Košický
Kútniky;Okres Dunajská Streda;Trnavský
Kúty;Okres Senica;Trnavský
Kuzmice, okres Topoľčany;Okres Topoľčany;Nitriansky
Kuzmice, okres Trebišov;Okres Trebišov;Košický
Kvačany, okres Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Kvačany, okres Prešov;Okres Prešov;Prešovský
Kvakovce;Okres Vranov nad Topľou;Prešovský
Kvašov;Okres Púchov;Trenčiansky
Kvetoslavov;Okres Dunajská Streda;Trnavský
Kyjatice;Okres Rimavská Sobota;Banskobystrický
Kyjov;Okres Stará Ľubovňa;Prešovský
Kynceľová;Okres Banská Bystrica;Banskobystrický
Kysak;Okres Košice - okolie;Košický
Kyselica;Okres Dunajská Streda;Trnavský
Kysta;Okres Trebišov;Košický
Kysucké Nové Mesto;Okres Kysucké Nové Mesto;Žilinský
Kysucký Lieskovec;Okres Kysucké Nové Mesto;Žilinský
Láb;Okres Malacky;Bratislavský
Lackov;Okres Krupina;Banskobystrický
Lacková;Okres Stará Ľubovňa;Prešovský
Lackovce;Okres Humenné;Prešovský
Lada;Okres Prešov;Prešovský
Ladce;Okres Ilava;Trenčiansky
Ladice;Okres Zlaté Moravce;Nitriansky
Ladmovce;Okres Trebišov;Košický
Ladomerská Vieska;Okres Žiar nad Hronom;Banskobystrický
Ladomirov;Okres Snina;Prešovský
Ladomirová;Okres Svidník;Prešovský
Ladzany;Okres Krupina;Banskobystrický
Lakšárska Nová Ves;Okres Senica;Trnavský
Lascov;Okres Bardejov;Prešovský
Laskár;Okres Martin;Žilinský
Lastomír;Okres Michalovce;Košický
Lastovce;Okres Trebišov;Košický
Laškovce;Okres Michalovce;Košický
Látky;Okres Detva;Banskobystrický
Lazany;Okres Prievidza;Trenčiansky
Lazisko;Okres Liptovský Mikuláš;Žilinský
Lazy pod Makytou;Okres Púchov;Trenčiansky
Lažany;Okres Prešov;Prešovský
Lednica;Okres Púchov;Trenčiansky
Lednické Rovne;Okres Púchov;Trenčiansky
Legnava;Okres Stará Ľubovňa;Prešovský
Lehnice;Okres Dunajská Streda;Trnavský
Lehota;Okres Nitra;Nitriansky
Lehota nad Rimavicou;Okres Rimavská Sobota;Banskobystrický
Lehota pod Vtáčnikom;Okres Prievidza;Trenčiansky
Lehôtka;Okres Lučenec;Banskobystrický
Lehôtka pod Brehmi;Okres Žiar nad Hronom;Banskobystrický
Lechnica;Okres Kežmarok;Prešovský
Lekárovce;Okres Sobrance;Košický
Leľa;Okres Nové Zámky;Nitriansky
Leles;Okres Trebišov;Košický
Lemešany;Okres Prešov;Prešovský
Lenartov;Okres Bardejov;Prešovský
Lenartovce;Okres Rimavská Sobota;Banskobystrický
Lendak;Okres Kežmarok;Prešovský
Lenka;Okres Rimavská Sobota;Banskobystrický
Lentvora;Okres Lučenec;Banskobystrický
Leopoldov;Okres Hlohovec;Trnavský
Lesenice;Okres Veľký Krtíš;Banskobystrický
Lesíček;Okres Prešov;Prešovský
Lesné;Okres Michalovce;Košický
Lesnica;Okres Stará Ľubovňa;Prešovský
Lešť (vojenský obvod);Okres Zvolen;Banskobystrický
Leštiny;Okres Dolný Kubín;Žilinský
Letanovce;Okres Spišská Nová Ves;Košický
Letničie;Okres Skalica;Trnavský
Leváre;Okres Revúca;Banskobystrický
Levice;Okres Levice;Nitriansky
Levkuška;Okres Revúca;Banskobystrický
Levoča;Okres Levoča;Prešovský
Ležiachov;Okres Martin;Žilinský
Libichava;Okres Bánovce nad Bebravou;Trenčiansky
Licince;Okres Revúca;Banskobystrický
Ličartovce;Okres Prešov;Prešovský
Liesek;Okres Tvrdošín;Žilinský
Lieskovany;Okres Spišská Nová Ves;Košický
Lieskovec, okres Humenné;Okres Humenné;Prešovský
Lieskovec, okres Zvolen;Okres Zvolen;Banskobystrický
Liešno;Okres Turčianske Teplice;Žilinský
Liešťany;Okres Prievidza;Trenčiansky
Lietava;Okres Žilina;Žilinský
Lietavská Lúčka;Okres Žilina;Žilinský
Lietavská Svinná-Babkov;Okres Žilina;Žilinský
Likavka;Okres Ružomberok;Žilinský
Limbach;Okres Pezinok;Bratislavský
Lipany;Okres Sabinov;Prešovský
Lipník;Okres Prievidza;Trenčiansky
Lipníky;Okres Prešov;Prešovský
Lipová, okres Bardejov;Okres Bardejov;Prešovský
Lipová, okres Nové Zámky;Okres Nové Zámky;Nitriansky
Lipovany;Okres Lučenec;Banskobystrický
Lipovce;Okres Prešov;Prešovský
Lipové;Okres Komárno;Nitriansky
Lipovec, okres Martin;Okres Martin;Žilinský
Lipovec, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Lipovník, okres Rožňava;Okres Rožňava;Košický
Lipovník, okres Topoľčany;Okres Topoľčany;Nitriansky
Liptovská Anna;Okres Liptovský Mikuláš;Žilinský
Liptovská Kokava;Okres Liptovský Mikuláš;Žilinský
Liptovská Lúžna;Okres Ružomberok;Žilinský
Liptovská Osada;Okres Ružomberok;Žilinský
Liptovská Porúbka;Okres Liptovský Mikuláš;Žilinský
Liptovská Sielnica;Okres Liptovský Mikuláš;Žilinský
Liptovská Štiavnica;Okres Ružomberok;Žilinský
Liptovská Teplá;Okres Ružomberok;Žilinský
Liptovská Teplička;Okres Poprad;Prešovský
Liptovské Beharovce;Okres Liptovský Mikuláš;Žilinský
Liptovské Kľačany;Okres Liptovský Mikuláš;Žilinský
Liptovské Matiašovce;Okres Liptovský Mikuláš;Žilinský
Liptovské Revúce;Okres Ružomberok;Žilinský
Liptovské Sliače;Okres Ružomberok;Žilinský
Liptovský Hrádok;Okres Liptovský Mikuláš;Žilinský
Liptovský Ján;Okres Liptovský Mikuláš;Žilinský
Liptovský Michal;Okres Ružomberok;Žilinský
Liptovský Mikuláš;Okres Liptovský Mikuláš;Žilinský
Liptovský Ondrej;Okres Liptovský Mikuláš;Žilinský
Liptovský Peter;Okres Liptovský Mikuláš;Žilinský
Liptovský Trnovec;Okres Liptovský Mikuláš;Žilinský
Lisková;Okres Ružomberok;Žilinský
Lišov;Okres Krupina;Banskobystrický
Litava;Okres Krupina;Banskobystrický
Litmanová;Okres Stará Ľubovňa;Prešovský
Livina;Okres Partizánske;Trenčiansky
Livinské Opatovce;Okres Partizánske;Trenčiansky
Livov;Okres Bardejov;Prešovský
Livovská Huta;Okres Bardejov;Prešovský
Lodno;Okres Kysucké Nové Mesto;Žilinský
Lok;Okres Levice;Nitriansky
Lokca;Okres Námestovo;Žilinský
Lom nad Rimavicou;Okres Brezno;Banskobystrický
Lomná;Okres Námestovo;Žilinský
Lomné;Okres Stropkov;Prešovský
Lomnička;Okres Stará Ľubovňa;Prešovský
Lontov;Okres Levice;Nitriansky
Lopašov;Okres Skalica;Trnavský
Lopúchov;Okres Bardejov;Prešovský
Lopušné Pažite;Okres Kysucké Nové Mesto;Žilinský
Lošonec;Okres Trnava;Trnavský
Lovce;Okres Zlaté Moravce;Nitriansky
Lovča;Okres Žiar nad Hronom;Banskobystrický
Lovčica-Trubín;Okres Žiar nad Hronom;Banskobystrický
Lovinobaňa;Okres Lučenec;Banskobystrický
Lozorno;Okres Malacky;Bratislavský
Ložín;Okres Michalovce;Košický
Ľubá;Okres Nové Zámky;Nitriansky
Ľubeľa;Okres Liptovský Mikuláš;Žilinský
Lubeník;Okres Revúca;Banskobystrický
Ľubica;Okres Kežmarok;Prešovský
Ľubietová;Okres Banská Bystrica;Banskobystrický
Lubina;Okres Nové Mesto nad Váhom;Trenčiansky
Ľubiša;Okres Humenné;Prešovský
Ľubochňa;Okres Ružomberok;Žilinský
Ľuboreč;Okres Lučenec;Banskobystrický
Ľuboriečka;Okres Veľký Krtíš;Banskobystrický
Ľubotice;Okres Prešov;Prešovský
Ľubotín;Okres Stará Ľubovňa;Prešovský
Ľubovec;Okres Prešov;Prešovský
Lúč na Ostrove;Okres Dunajská Streda;Trnavský
Lučatín;Okres Banská Bystrica;Banskobystrický
Lučenec;Okres Lučenec;Banskobystrický
Lúčina;Okres Prešov;Prešovský
Lučivná;Okres Poprad;Prešovský
Lúčka, okres Levoča;Okres Levoča;Prešovský
Lúčka, okres Rožňava;Okres Rožňava;Košický
Lúčka, okres Sabinov;Okres Sabinov;Prešovský
Lúčka, okres Svidník;Okres Svidník;Prešovský
Lúčky, okres Michalovce;Okres Michalovce;Košický
Lúčky, okres Ružomberok;Okres Ružomberok;Žilinský
Lúčky, okres Žiar nad Hronom;Okres Žiar nad Hronom;Banskobystrický
Lúčnica nad Žitavou;Okres Nitra;Nitriansky
Ludanice;Okres Topoľčany;Nitriansky
Ľudovítová;Okres Nitra;Nitriansky
Ludrová;Okres Ružomberok;Žilinský
Luhyňa;Okres Trebišov;Košický
Lúka;Okres Nové Mesto nad Váhom;Trenčiansky
Lukačovce;Okres Humenné;Prešovský
Lukáčovce;Okres Nitra;Nitriansky
Lukavica, okres Bardejov;Okres Bardejov;Prešovský
Lukavica, okres Zvolen;Okres Zvolen;Banskobystrický
Lukov;Okres Bardejov;Prešovský
Lukovištia;Okres Rimavská Sobota;Banskobystrický
Lúky;Okres Púchov;Trenčiansky
Lula;Okres Levice;Nitriansky
Lupoč;Okres Lučenec;Banskobystrický
Lutila;Okres Žiar nad Hronom;Banskobystrický
Ľutina;Okres Sabinov;Prešovský
Lutiše;Okres Žilina;Žilinský
Ľutov;Okres Bánovce nad Bebravou;Trenčiansky
Lužany;Okres Topoľčany;Nitriansky
Lužany pri Topli;Okres Svidník;Prešovský
Lužianky;Okres Nitra;Nitriansky
Lysá pod Makytou;Okres Púchov;Trenčiansky
Lysica;Okres Žilina;Žilinský
Macov;Okres Dunajská Streda;Trnavský
Mad;Okres Dunajská Streda;Trnavský
Madunice;Okres Hlohovec;Trnavský
Magnezitovce;Okres Revúca;Banskobystrický
Machulince;Okres Zlaté Moravce;Nitriansky
Majcichov;Okres Trnava;Trnavský
Majere;Okres Kežmarok;Prešovský
Majerovce;Okres Vranov nad Topľou;Prešovský
Makov;Okres Čadca;Žilinský
Makovce;Okres Stropkov;Prešovský
Malá Čalomija;Okres Veľký Krtíš;Banskobystrický
Malá Čausa;Okres Prievidza;Trenčiansky
Malá Čierna;Okres Žilina;Žilinský
Malá Domaša;Okres Vranov nad Topľou;Prešovský
Malá Franková;Okres Kežmarok;Prešovský
Malá Hradná;Okres Bánovce nad Bebravou;Trenčiansky
Malá Ida;Okres Košice - okolie;Košický
Malá Lehota;Okres Žarnovica;Banskobystrický
Malá Lodina;Okres Košice - okolie;Košický
Malá Mača;Okres Galanta;Trnavský
Malá nad Hronom;Okres Nové Zámky;Nitriansky
Malá Poľana;Okres Stropkov;Prešovský
Malá Tŕňa;Okres Trebišov;Košický
Malacky;Okres Malacky;Bratislavský
Malachov;Okres Banská Bystrica;Banskobystrický
Málaš;Okres Levice;Nitriansky
Malatiná;Okres Dolný Kubín;Žilinský
Malatíny;Okres Liptovský Mikuláš;Žilinský
Malcov;Okres Bardejov;Prešovský
Malčice;Okres Michalovce;Košický
Malé Borové;Okres Liptovský Mikuláš;Žilinský
Malé Dvorníky;Okres Dunajská Streda;Trnavský
Malé Hoste;Okres Bánovce nad Bebravou;Trenčiansky
Malé Chyndice;Okres Nitra;Nitriansky
Malé Kosihy;Okres Nové Zámky;Nitriansky
Malé Kozmálovce;Okres Levice;Nitriansky
Malé Kršteňany;Okres Partizánske;Trenčiansky
Malé Lednice;Okres Považská Bystrica;Trenčiansky
Malé Leváre;Okres Malacky;Bratislavský
Malé Ludince;Okres Levice;Nitriansky
Malé Ozorovce;Okres Trebišov;Košický
Malé Raškovce;Okres Michalovce;Košický
Malé Ripňany;Okres Topoľčany;Nitriansky
Malé Straciny;Okres Veľký Krtíš;Banskobystrický
Malé Trakany;Okres Trebišov;Košický
Malé Uherce;Okres Partizánske;Trenčiansky
Malé Vozokany;Okres Zlaté Moravce;Nitriansky
Malé Zálužie;Okres Nitra;Nitriansky
Malé Zlievce;Okres Veľký Krtíš;Banskobystrický
Málinec;Okres Poltár;Banskobystrický
Malinová;Okres Prievidza;Trenčiansky
Malinovo;Okres Senec;Bratislavský
Malužiná;Okres Liptovský Mikuláš;Žilinský
Malý Cetín;Okres Nitra;Nitriansky
Malý Čepčín;Okres Turčianske Teplice;Žilinský
Malý Horeš;Okres Trebišov;Košický
Malý Kamenec;Okres Trebišov;Košický
Malý Krtíš;Okres Veľký Krtíš;Banskobystrický
Malý Lapáš;Okres Nitra;Nitriansky
Malý Lipník;Okres Stará Ľubovňa;Prešovský
Malý Slavkov;Okres Kežmarok;Prešovský
Malý Slivník;Okres Prešov;Prešovský
Malý Šariš;Okres Prešov;Prešovský
Malženice;Okres Trnava;Trnavský
Maňa;Okres Nové Zámky;Nitriansky
Mankovce;Okres Zlaté Moravce;Nitriansky
Marcelová;Okres Komárno;Nitriansky
Margecany;Okres Gelnica;Košický
Marhaň;Okres Bardejov;Prešovský
Marianka;Okres Malacky;Bratislavský
Markovce;Okres Michalovce;Košický
Markuška;Okres Rožňava;Košický
Markušovce;Okres Spišská Nová Ves;Košický
Maršová-Rašov;Okres Bytča;Žilinský
Martin;Okres Martin;Žilinský
Martin nad Žitavou;Okres Zlaté Moravce;Nitriansky
Martinček;Okres Ružomberok;Žilinský
Martinová;Okres Rimavská Sobota;Banskobystrický
Martovce;Okres Komárno;Nitriansky
Mašková;Okres Lučenec;Banskobystrický
Maškovce;Okres Humenné;Prešovský
Matejovce nad Hornádom;Okres Spišská Nová Ves;Košický
Matiaška;Okres Vranov nad Topľou;Prešovský
Matiašovce;Okres Kežmarok;Prešovský
Matovce;Okres Svidník;Prešovský
Maťovské Vojkovce;Okres Michalovce;Košický
Matúškovo;Okres Galanta;Trnavský
Matysová;Okres Stará Ľubovňa;Prešovský
Medovarce;Okres Krupina;Banskobystrický
Medvedie;Okres Svidník;Prešovský
Medveďov;Okres Dunajská Streda;Trnavský
Medzany;Okres Prešov;Prešovský
Medzev;Okres Košice - okolie;Košický
Medzianky;Okres Vranov nad Topľou;Prešovský
Medzibrod;Okres Banská Bystrica;Banskobystrický
Medzibrodie nad Oravou;Okres Dolný Kubín;Žilinský
Medzilaborce;Okres Medzilaborce;Prešovský
Melčice-Lieskové;Okres Trenčín;Trenčiansky
Melek;Okres Nitra;Nitriansky
Meliata;Okres Rožňava;Košický
Mengusovce;Okres Poprad;Prešovský
Merašice;Okres Hlohovec;Trnavský
Merník;Okres Vranov nad Topľou;Prešovský
Mestečko;Okres Púchov;Trenčiansky
Mestisko;Okres Svidník;Prešovský
Mičakovce;Okres Svidník;Prešovský
Mierovo;Okres Dunajská Streda;Trnavský
Miezgovce;Okres Bánovce nad Bebravou;Trenčiansky
Michajlov;Okres Snina;Prešovský
Michal na Ostrove;Okres Dunajská Streda;Trnavský
Michal nad Žitavou;Okres Nové Zámky;Nitriansky
Michaľany;Okres Trebišov;Košický
Michalková;Okres Zvolen;Banskobystrický
Michalok;Okres Vranov nad Topľou;Prešovský
Michalová;Okres Brezno;Banskobystrický
Michalovce;Okres Michalovce;Košický
Miklušovce;Okres Prešov;Prešovský
Miková;Okres Stropkov;Prešovský
Mikulášová;Okres Bardejov;Prešovský
Mikušovce, okres Ilava;Okres Ilava;Trenčiansky
Mikušovce, okres Lučenec;Okres Lučenec;Banskobystrický
Milhosť;Okres Košice - okolie;Košický
Miloslavov;Okres Senec;Bratislavský
Milpoš;Okres Sabinov;Prešovský
Miňovce;Okres Stropkov;Prešovský
Mirkovce;Okres Prešov;Prešovský
Miroľa;Okres Svidník;Prešovský
Mládzovo;Okres Poltár;Banskobystrický
Mlynárovce;Okres Svidník;Prešovský
Mlynčeky;Okres Kežmarok;Prešovský
Mlynica;Okres Poprad;Prešovský
Mlynky;Okres Spišská Nová Ves;Košický
Mníchova Lehota;Okres Trenčín;Trenčiansky
Mníšek nad Hnilcom;Okres Gelnica;Košický
Mníšek nad Popradom;Okres Stará Ľubovňa;Prešovský
Moča;Okres Komárno;Nitriansky
Močenok;Okres Šaľa;Nitriansky
Močiar;Okres Banská Štiavnica;Banskobystrický
Modra;Okres Pezinok;Bratislavský
Modra nad Cirochou;Okres Humenné;Prešovský
Modrany;Okres Komárno;Nitriansky
Modrová;Okres Nové Mesto nad Váhom;Trenčiansky
Modrovka;Okres Nové Mesto nad Váhom;Trenčiansky
Modrý Kameň;Okres Veľký Krtíš;Banskobystrický
Mojmírovce;Okres Nitra;Nitriansky
Mojš;Okres Žilina;Žilinský
Mojtín;Okres Púchov;Trenčiansky
Mojzesovo;Okres Nové Zámky;Nitriansky
Mokrá Lúka;Okres Revúca;Banskobystrický
Mokrance;Okres Košice - okolie;Košický
Mokroluh;Okres Bardejov;Prešovský
Mokrý Háj;Okres Skalica;Trnavský
Moldava nad Bodvou;Okres Košice - okolie;Košický
Moravany;Okres Michalovce;Košický
Moravany nad Váhom;Okres Piešťany;Trnavský
Moravské Lieskové;Okres Nové Mesto nad Váhom;Trenčiansky
Moravský Svätý Ján;Okres Senica;Trnavský
Most pri Bratislave;Okres Senec;Bratislavský
Mostová;Okres Galanta;Trnavský
Moškovec;Okres Turčianske Teplice;Žilinský
Mošovce;Okres Turčianske Teplice;Žilinský
Moštenica;Okres Banská Bystrica;Banskobystrický
Mošurov;Okres Prešov;Prešovský
Motešice;Okres Trenčín;Trenčiansky
Motyčky;Okres Banská Bystrica;Banskobystrický
Môlča;Okres Banská Bystrica;Banskobystrický
Mrázovce;Okres Stropkov;Prešovský
Mučín;Okres Lučenec;Banskobystrický
Mudroňovo;Okres Komárno;Nitriansky
Mudrovce;Okres Košice - okolie;Košický
Muľa;Okres Veľký Krtíš;Banskobystrický
Muráň;Okres Revúca;Banskobystrický
Muránska Dlhá Lúka;Okres Revúca;Banskobystrický
Muránska Huta;Okres Revúca;Banskobystrický
Muránska Lehota;Okres Revúca;Banskobystrický
Muránska Zdychava;Okres Revúca;Banskobystrický
Mútne;Okres Námestovo;Žilinský
Mužla;Okres Nové Zámky;Nitriansky
Myjava;Okres Myjava;Trenčiansky
Myslina;Okres Humenné;Prešovský
Mýtna;Okres Lučenec;Banskobystrický
Mýtne Ludany;Okres Levice;Nitriansky
Mýto pod Ďumbierom;Okres Brezno;Banskobystrický
Nacina Ves;Okres Michalovce;Košický
Nadlice;Okres Partizánske;Trenčiansky
Ňagov;Okres Medzilaborce;Prešovský
Naháč;Okres Trnava;Trnavský
Nálepkovo;Okres Gelnica;Košický
Námestovo;Okres Námestovo;Žilinský
Nána;Okres Nové Zámky;Nitriansky
Nandraž;Okres Revúca;Banskobystrický
Ňárad;Okres Dunajská Streda;Trnavský
Necpaly;Okres Martin;Žilinský
Nedanovce;Okres Partizánske;Trenčiansky
Nedašovce;Okres Bánovce nad Bebravou;Trenčiansky
Neded;Okres Šaľa;Nitriansky
Nededza;Okres Žilina;Žilinský
Nedožery-Brezany;Okres Prievidza;Trenčiansky
Nechválova Polianka;Okres Humenné;Prešovský
Nemce;Okres Banská Bystrica;Banskobystrický
Nemcovce, okres Bardejov;Okres Bardejov;Prešovský
Nemcovce, okres Prešov;Okres Prešov;Prešovský
Nemčice;Okres Topoľčany;Nitriansky
Nemčiňany;Okres Zlaté Moravce;Nitriansky
Nemecká;Okres Brezno;Banskobystrický
Nemečky;Okres Topoľčany;Nitriansky
Nemešany;Okres Levoča;Prešovský
Nemšová;Okres Trenčín;Trenčiansky
Nenince;Okres Veľký Krtíš;Banskobystrický
Neporadza, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Neporadza, okres Trenčín;Okres Trenčín;Trenčiansky
Nesluša;Okres Kysucké Nové Mesto;Žilinský
Nesvady;Okres Komárno;Nitriansky
Neverice;Okres Zlaté Moravce;Nitriansky
Nevidzany, okres Prievidza;Okres Prievidza;Trenčiansky
Nevidzany, okres Zlaté Moravce;Okres Zlaté Moravce;Nitriansky
Nevoľné;Okres Žiar nad Hronom;Banskobystrický
Nezbudská Lúčka;Okres Žilina;Žilinský
Nimnica;Okres Púchov;Trenčiansky
Nitra;Okres Nitra;Nitriansky
Nitra nad Ipľom;Okres Lučenec;Banskobystrický
Nitrianska Blatnica;Okres Topoľčany;Nitriansky
Nitrianska Streda;Okres Topoľčany;Nitriansky
Nitrianske Hrnčiarovce;Okres Nitra;Nitriansky
Nitrianske Pravno;Okres Prievidza;Trenčiansky
Nitrianske Rudno;Okres Prievidza;Trenčiansky
Nitrianske Sučany;Okres Prievidza;Trenčiansky
Nitrica;Okres Prievidza;Trenčiansky
Nižná Boca;Okres Liptovský Mikuláš;Žilinský
Nižná Hutka;Okres Košice - okolie;Košický
Nižná Jablonka;Okres Humenné;Prešovský
Nižná Jedľová;Okres Svidník;Prešovský
Nižná Kamenica;Okres Košice - okolie;Košický
Nižná Myšľa;Okres Košice - okolie;Košický
Nižná Olšava;Okres Stropkov;Prešovský
Nižná Pisaná;Okres Svidník;Prešovský
Nižná Polianka;Okres Bardejov;Prešovský
Nižná Rybnica;Okres Sobrance;Košický
Nižná Sitnica;Okres Humenné;Prešovský
Nižná Slaná;Okres Rožňava;Košický
Nižná Voľa;Okres Bardejov;Prešovský
Nižná, okres Piešťany;Okres Piešťany;Trnavský
Nižná, okres Tvrdošín;Okres Tvrdošín;Žilinský
Nižné Ladičkovce;Okres Humenné;Prešovský
Nižné Nemecké;Okres Sobrance;Košický
Nižné Repaše;Okres Levoča;Prešovský
Nižné Ružbachy;Okres Stará Ľubovňa;Prešovský
Nižný Čaj;Okres Košice - okolie;Košický
Nižný Hrabovec;Okres Vranov nad Topľou;Prešovský
Nižný Hrušov;Okres Vranov nad Topľou;Prešovský
Nižný Klátov;Okres Košice - okolie;Košický
Nižný Komárnik;Okres Svidník;Prešovský
Nižný Kručov;Okres Vranov nad Topľou;Prešovský
Nižný Lánec;Okres Košice - okolie;Košický
Nižný Mirošov;Okres Svidník;Prešovský
Nižný Orlík;Okres Svidník;Prešovský
Nižný Skálnik;Okres Rimavská Sobota;Banskobystrický
Nižný Slavkov;Okres Sabinov;Prešovský
Nižný Tvarožec;Okres Bardejov;Prešovský
Nižný Žipov;Okres Trebišov;Košický
Nolčovo;Okres Martin;Žilinský
Norovce;Okres Topoľčany;Nitriansky
Nová Baňa;Okres Žarnovica;Banskobystrický
Nová Bašta;Okres Rimavská Sobota;Banskobystrický
Nová Bošáca;Okres Nové Mesto nad Váhom;Trenčiansky
Nová Bystrica;Okres Čadca;Žilinský
Nová Dedina;Okres Levice;Nitriansky
Nová Dedinka;Okres Senec;Bratislavský
Nová Dubnica;Okres Ilava;Trenčiansky
Nová Kelča;Okres Vranov nad Topľou;Prešovský
Nová Lehota;Okres Nové Mesto nad Váhom;Trenčiansky
Nová Lesná;Okres Poprad;Prešovský
Nová Ľubovňa;Okres Stará Ľubovňa;Prešovský
Nová Polhora;Okres Košice - okolie;Košický
Nová Polianka;Okres Svidník;Prešovský
Nová Sedlica;Okres Snina;Prešovský
Nová Ves;Okres Veľký Krtíš;Banskobystrický
Nová Ves nad Váhom;Okres Nové Mesto nad Váhom;Trenčiansky
Nová Ves nad Žitavou;Okres Nitra;Nitriansky
Nová Vieska;Okres Nové Zámky;Nitriansky
Nováčany;Okres Košice - okolie;Košický
Nováky;Okres Prievidza;Trenčiansky
Nové Hony;Okres Lučenec;Banskobystrický
Nové Mesto nad Váhom;Okres Nové Mesto nad Váhom;Trenčiansky
Nové Sady;Okres Nitra;Nitriansky
Nové Zámky;Okres Nové Zámky;Nitriansky
Novosad;Okres Trebišov;Košický
Novoť;Okres Námestovo;Žilinský
Nový Ruskov;Okres Trebišov;Košický
Nový Salaš;Okres Košice - okolie;Košický
Nový Svet;Okres Senec;Bratislavský
Nový Tekov;Okres Levice;Nitriansky
Nový Život;Okres Dunajská Streda;Trnavský
Nýrovce;Okres Levice;Nitriansky
Obeckov;Okres Veľký Krtíš;Banskobystrický
Obid;Okres Nové Zámky;Nitriansky
Obišovce;Okres Košice - okolie;Košický
Oborín;Okres Michalovce;Košický
Obručné;Okres Stará Ľubovňa;Prešovský
Obyce;Okres Zlaté Moravce;Nitriansky
Očkov;Okres Nové Mesto nad Váhom;Trenčiansky
Očová;Okres Zvolen;Banskobystrický
Odorín;Okres Spišská Nová Ves;Košický
Ohrady;Okres Dunajská Streda;Trnavský
Ohradzany;Okres Humenné;Prešovský
Ochodnica;Okres Kysucké Nové Mesto;Žilinský
Ochtiná;Okres Rožňava;Košický
Okoč;Okres Dunajská Streda;Trnavský
Okoličná na Ostrove;Okres Komárno;Nitriansky
Okrúhle;Okres Svidník;Prešovský
Okružná;Okres Prešov;Prešovský
Olcnava;Okres Spišská Nová Ves;Košický
Oľdza;Okres Dunajská Streda;Trnavský
Olejníkov;Okres Sabinov;Prešovský
Olešná;Okres Čadca;Žilinský
Oľka;Okres Medzilaborce;Prešovský
Olováry;Okres Veľký Krtíš;Banskobystrický
Oľšavce;Okres Bardejov;Prešovský
Oľšavica;Okres Levoča;Prešovský
Oľšavka, okres Spišská Nová Ves;Okres Spišská Nová Ves;Košický
Oľšavka, okres Stropkov;Okres Stropkov;Prešovský
Oľšinkov;Okres Medzilaborce;Prešovský
Oľšov;Okres Sabinov;Prešovský
Olšovany;Okres Košice - okolie;Košický
Omastiná;Okres Bánovce nad Bebravou;Trenčiansky
Omšenie;Okres Trenčín;Trenčiansky
Ondavka;Okres Bardejov;Prešovský
Ondavské Matiašovce;Okres Vranov nad Topľou;Prešovský
Ondrašová;Okres Turčianske Teplice;Žilinský
Ondrašovce;Okres Prešov;Prešovský
Ondrejovce;Okres Levice;Nitriansky
